Item Code,Task,Segment,Report,Sub task,Material Spacification,QTY,Unit,Reat,Total Amount in BDT,Remarts
,Brick Work,5th Floor,,10mm Rod,,549.26,Kg,70,38448.2,
,Brick Work,5th Floor,,12mm Rod,,,,,0,
,Brick Work,5th Floor,,Cement (PCC/ CEM II),,122.02,Bag,405,49418.1,
,Brick Work,5th Floor,,Sand (FM 1.20),,693.74,Cft,28,19424.72,
,Brick Work,5th Floor,,18mm crushed stone,,,,,0,
,Brick Work,5th Floor,,12mm crushed stone,,,,,0,
,Brick Work,5th Floor,,18mm Brick Chips,,112.27,Cft,95,10665.65,
,Brick Work,5th Floor,,1st class Brick,,"24,934.00",Nos,9,224406,
,Brick Work,5th Floor,,Picket Brick,,,,,0,
,Brick Work,5th Floor,,Chemical,,,,,0,
,Brick Work,5th Floor,,Daily Labour,,4,Nos,500,2000,
,Brick Work,5th Floor,,Contrator Bill,220@20%,"3,322.02",Sft,44,146168.88,
,Brick Work,5th Floor,,Form Work,,,,,0,
,Brick Work,5th Floor,,Nonschedule Material,,,,,0,
,Brick Work,5th Floor,,Nonschedule Labour Bill,,,,,0,
,Brick Work,6th Floor,,08mm Rod,,,,,0,
,Brick Work,6th Floor,,10mm Rod,,549.26,Kg,70,38448.2,
,Brick Work,6th Floor,,12mm Rod,,,,,0,
,Brick Work,6th Floor,,Cement (PCC/ CEM II),,121.73,Bag,405,49300.65,
,Brick Work,6th Floor,,Sand (FM 1.20),,691.84,Cft,28,19371.52,
,Brick Work,6th Floor,,18mm crushed stone,,,,,0,
,Brick Work,6th Floor,,12mm crushed stone,,,,,0,
,Brick Work,6th Floor,,18mm Brick Chips,,112.27,Cft,95,10665.65,
,Brick Work,6th Floor,,1st class Brick,,"24,858.00",Nos,9,223722,
,Brick Work,6th Floor,,Picket Brick,,,,,0,
,Brick Work,6th Floor,,Chemical,,,,,0,
,Brick Work,6th Floor,,Daily Labour,,4,Nos,500,2000,
,Brick Work,6th Floor,,Contrator Bill,227@20%,"3,231.90",Sft,45.4,146728.26,
,Brick Work,6th Floor,,Form Work,,,,,0,
,Brick Work,6th Floor,,Nonschedule Material,,,,,0,
,Brick Work,6th Floor,,Nonschedule Labour Bill,,,,,0,
,Brick Work,7th Floor,,08mm Rod,,,,,0,
,Brick Work,7th Floor,,10mm Rod,,549.26,Kg,70,38448.2,
,Brick Work,7th Floor,,12mm Rod,,,,,0,
,Brick Work,7th Floor,,Cement (PCC/ CEM II),,121.49,Bag,405,49203.45,
,Brick Work,7th Floor,,Sand (FM 1.20),,690.99,Cft,28,19347.72,
,Brick Work,7th Floor,,18mm crushed stone,,,,,0,
,Brick Work,7th Floor,,12mm crushed stone,,,,,0,
,Brick Work,7th Floor,,18mm Brick Chips,,112.27,Cft,95,10665.65,
,Brick Work,7th Floor,,1st class Brick,,"24,824.00",Nos,9,223416,
,Brick Work,7th Floor,,Picket Brick,,,,,0,
,Brick Work,7th Floor,,Chemical,,,,,0,
,Brick Work,7th Floor,,Daily Labour,,4,Nos,500,2000,
,Brick Work,7th Floor,,Contrator Bill,234@20%,"3,322.02",Sft,46.8,155470.536,
,Brick Work,7th Floor,,Form Work,,,,,0,
,Brick Work,7th Floor,,Nonschedule Material,,,,,0,
,Brick Work,7th Floor,,Nonschedule Labour Bill,,,,,0,
,Brick Work,8th Floor,,08mm Rod,,,,,0,
,Brick Work,8th Floor,,10mm Rod,,549.26,Kg,70,38448.2,
,Brick Work,8th Floor,,12mm Rod,,,,,0,
,Brick Work,8th Floor,,Cement (PCC/ CEM II),,123.93,Bag,405,50191.65,
,Brick Work,8th Floor,,Sand (FM 1.20),,705.9,Cft,28,19765.2,
,Brick Work,8th Floor,,18mm crushed stone,,,,,0,
,Brick Work,8th Floor,,12mm crushed stone,,,,,0,
,Brick Work,8th Floor,,18mm Brick Chips,,112.27,Cft,95,10665.65,
,Brick Work,8th Floor,,1st class Brick,,"25,420.00",Nos,9,228780,
,Brick Work,8th Floor,,Picket Brick,,,,,0,
,Brick Work,8th Floor,,Chemical,,,,,0,
,Brick Work,8th Floor,,Daily Labour,,4,Nos,500,2000,
,Brick Work,8th Floor,,Contrator Bill,241@20%,"3,322.49",Sft,48.2,160144.018,
,Brick Work,8th Floor,,Form Work,,,,,0,
,Brick Work,8th Floor,,Nonschedule Material,,,,,0,
,Brick Work,8th Floor,,Nonschedule Labour Bill,,,,,0,
,Brick Work,Roof Top,,08mm Rod,,,,,0,
,Brick Work,Roof Top,,10mm Rod,,,Kg,70,0,
,Brick Work,Roof Top,,12mm Rod,,,,,0,
,Brick Work,Roof Top,,Cement (PCC/ CEM II),,55.96,Bag,405,22663.8,
,Brick Work,Roof Top,,Sand (FM 1.20),,356.72,Cft,28,9988.16,
,Brick Work,Roof Top,,18mm crushed stone,,,,,0,
,Brick Work,Roof Top,,12mm crushed stone,,,,,0,
,Brick Work,Roof Top,,18mm Brick Chips,,,Cft,95,0,
,Brick Work,Roof Top,,1st class Brick,,"14,274.00",Nos,9,128466,
,Brick Work,Roof Top,,Picket Brick,,,,,0,
,Brick Work,Roof Top,,Chemical,,,,,0,
,Brick Work,Roof Top,,Daily Labour,,4,Nos,500,2000,
,Brick Work,Roof Top,,Contrator Bill,145@20%,"3,322.49",Sft,29,96352.21,
,Brick Work,Roof Top,,Form Work,,,,,0,
,Brick Work,Roof Top,,Nonschedule Material,,,,,0,
,Brick Work,Roof Top,,Nonschedule Labour Bill,,,,,0,
,Plaster Work,Ground Floor,,Cement (PCC/ CEM II),,101.59,Bag,405,41143.95,
,Plaster Work,Ground Floor,,Sand (FM 1.50),,647.63,Cft,28,18133.64,
,Plaster Work,Ground Floor,,Chemical,,,Litre,,0,
,Plaster Work,Ground Floor,,Daily Labour,,5,Nos,500,2500,
,Plaster Work,Ground Floor,,Contrator Bill,185@25%,"3,291.94",APA,46.25,152252.225,
,Plaster Work,Ground Floor,,Rent of Form Work,,,,,0,
,Plaster Work,1st Floor,,Cement (PCC/ CEM II),,166.93,Bag,405,67606.65,
,Plaster Work,1st Floor,,Sand (FM 1.50),,"1,062.50",Cft,28,29750,
,Plaster Work,1st Floor,,Chemical,,,Litre,,0,
,Plaster Work,1st Floor,,Daily Labour,,5,Nos,500,2500,
,Plaster Work,1st Floor,,Contrator Bill,192@25%,"3,288.57",APA,48,157851.36,
,Plaster Work,1st Floor,,Rent of Form Work,,,,,0,
,Plaster Work,2nd Floor,,Cement (PCC/ CEM II),,166.93,Bag,405,67606.65,
,Plaster Work,2nd Floor,,Sand (FM 1.50),,6.17,Cft,28,172.76,
,Plaster Work,2nd Floor,,Chemical,,,Litre,,0,
,Plaster Work,2nd Floor,,Daily Labour,,5,Nos,500,2500,
,Plaster Work,2nd Floor,,Contrator Bill,199@25%,"3,351.40",APA,49.75,166732.15,
,Plaster Work,2nd Floor,,Rent of Form Work,,,,,0,
,Plaster Work,3rd Floor,,Cement (PCC/ CEM II),,166.93,Bag,405,67606.65,
,Plaster Work,3rd Floor,,Sand (FM 1.50),,"1,062.50",Cft,28,29750,
,Plaster Work,3rd Floor,,Chemical,,,Litre,,0,
,Plaster Work,3rd Floor,,Daily Labour,,5,Nos,500,2500,
,Plaster Work,3rd Floor,,Contrator Bill,206@25%,"3,264.27",APA,51.5,168109.905,
,Plaster Work,3rd Floor,,Rent of Form Work,,,,,0,
,Plaster Work,4th Floor,,Cement (PCC/ CEM II),,166.93,Bag,405,67606.65,
,Plaster Work,4th Floor,,Sand (FM 1.50),,"1,062.50",Cft,28,29750,
,Plaster Work,4th Floor,,Chemical,,,Litre,,0,
,Plaster Work,4th Floor,,Daily Labour,,5,Nos,500,2500,
,Plaster Work,4th Floor,,Contrator Bill,213@25%,"3,270.63",APA,53.25,174161.0475,
,Plaster Work,4th Floor,,Rent of Form Work,,,,,0,
,Plaster Work,5th Floor,,Cement (PCC/ CEM II),,157.54,Bag,405,63803.7,
,Plaster Work,5th Floor,,Sand (FM 1.50),,"1,002.69",Cft,28,28075.32,
,Plaster Work,5th Floor,,Chemical,,,Litre,,0,
,Plaster Work,5th Floor,,Daily Labour,,5,Nos,500,2500,
,Plaster Work,5th Floor,,Contrator Bill,220@25%,"3,322.02",APA,55,182711.1,
,Plaster Work,5th Floor,,Rent of Form Work,,,,,0,
,Plaster Work,6th Floor,,Cement (PCC/ CEM II),,157.54,Bag,405,63803.7,
,Plaster Work,6th Floor,,Sand (FM 1.50),,"1,002.69",Cft,28,28075.32,
,Plaster Work,6th Floor,,Chemical,,,Litre,,0,
,Plaster Work,6th Floor,,Daily Labour,,5,Nos,500,2500,
,Plaster Work,6th Floor,,Contrator Bill,227@25%,"3,231.90",APA,56.75,183410.325,
,Plaster Work,6th Floor,,Rent of Form Work,,,,,0,
,Plaster Work,7th Floor,,Cement (PCC/ CEM II),,157.54,Bag,405,63803.7,
,Plaster Work,7th Floor,,Sand (FM 1.50),,"1,002.69",Cft,28,28075.32,
,Plaster Work,7th Floor,,Chemical,,,Litre,,0,
,Plaster Work,7th Floor,,Daily Labour,,5,Nos,500,2500,
,Plaster Work,7th Floor,,Contrator Bill,234@25%,"3,322.02",APA,58.5,194338.17,
,Plaster Work,7th Floor,,Rent of Form Work,,,,,0,
,Plaster Work,8th Floor,,Cement (PCC/ CEM II),,157.54,Bag,405,63803.7,
,Plaster Work,8th Floor,,Sand (FM 1.50),,"1,002.69",Cft,28,28075.32,
,Plaster Work,8th Floor,,Chemical,,,Litre,,0,
,Plaster Work,8th Floor,,Daily Labour,,5,Nos,500,2500,
,Plaster Work,8th Floor,,Contrator Bill,241@25%,"3,322.49",APA,60.25,200180.0225,
,Plaster Work,8th Floor,,Rent of Form Work,,,,,0,
,Plaster Work,Roof Floor,,Cement (PCC/ CEM II),,58.94,Bag,405,23870.7,
,Plaster Work,Roof Floor,,Sand (FM 1.50),,375.76,Cft,28,10521.28,
,Plaster Work,Roof Floor,,Chemical,,,Litre,,0,
,Plaster Work,Roof Floor,,Daily Labour,,5,Nos,500,2500,
,Plaster Work,Roof Floor,,Contrator Bill,145@25%,"3,322.49",APA,36.25,120440.2625,
,Plaster Work,Roof Floor,,Rent of Form Work,,,,,0,
,Door Works,Ground Floor,,Main Door Frame,Ctg Shegun,,Pcs,"10,500.00",0,
,Door Works,Ground Floor,,Main Door Shutter,Ctg Shegun,,Pcs,"17,500.00",0,
,Door Works,Ground Floor,,Bed Room Door Frame,Teak Chamble,,Pcs,"8,500.00",0,
,Door Works,Ground Floor,,Bed Room Door Shutter,Veneer Flash Door,,Sft,300,0,
,Door Works,Ground Floor,,Kitchen Door Frame,Shilkorai,1,Pcs,"4,500.00",4500,
,Door Works,Ground Floor,,Kitchen Door Frame Shutter,Gamari,1,Pcs,"4,800.00",4800,
,Door Works,Ground Floor,,Toilet Door,PVC,1,Pcs,"4,500.00",4500,
,Door Works,Ground Floor,,Cat Door Frame,Mehgoni (1.5X1.5),,Pcs,900,0,
,Door Works,Ground Floor,,Cat Door Shutter,APCS,,Sft,120,0,
,Door Works,Ground Floor,,Pvc Door,APCS,,Pcs,"4,000.00",0,
,Door Works,Ground Floor,,Sliding Doors,APCS,,SFT,,0,
,Door Works,Ground Floor,,Handle lock,APCS,,Pcs,"2,400.00",0,
,Door Works,Ground Floor,,Round Lock,APCS,1,Pcs,700,700,
,Door Works,Ground Floor,,Door Knoker,APCS,,Pcs,200,0,
,Door Works,Ground Floor,,Hinge,SS,4,Pcs,130,520,
,Door Works,Ground Floor,,6 inch Tower Bolt,SS,1,Pcs,100,100,
,Door Works,Ground Floor,,8 inch Tower Bolt,SS,1,Pcs,150,150,
,Door Works,Ground Floor,,Door stopper,APCS,1,Pcs,150,150,
,Door Works,Ground Floor,,Door Vapper,APCS,1,Pcs,20,20,
,Door Works,Ground Floor,,Clamp,MS,6,Pcs,20,120,
,Door Works,Ground Floor,,Screw,SS,18,Pcs,1,18,
,Door Works,Ground Floor,,Fixing & fiting Cost,APCS,1,Pcs,550,550,
,Door Works,1st Floor,,Main Door Frame,Ctg Shegun,2,Pcs,"10,500.00",21000,
,Door Works,1st Floor,,Main Door Shutter,Ctg Shegun,2,Pcs,"17,500.00",35000,
,Door Works,1st Floor,,Bed Room Door Frame,Shil Korai,6,Pcs,"8,500.00",51000,
,Door Works,1st Floor,,Bed Room Door Shutter,Veneer Flash Door,132,Sft,200,26400,
,Door Works,1st Floor,,Kitchen Door Frame,Shil Korai,2,Pcs,"8,500.00",17000,
,Door Works,1st Floor,,Kitchen Door Frame Shutter,Veneer Flash Door,42,Sft,200,8400,
,Door Works,1st Floor,,Toilet Door Frame,Mehgoni,6,Pcs,"8,000.00",48000,
,Door Works,1st Floor,,Toilet Door Frame Shutter,Formica Door,96,Sft,285,27360,
,Door Works,1st Floor,,Cat Door Frame,Mehgoni (1.5X1.5),8,Pcs,900,7200,
,Door Works,1st Floor,,Cat Door Shutter,APCS,76.48,Sft,120,9177.6,
,Door Works,1st Floor,,Pvc Door,APCS,2,Pcs,"4,000.00",8000,
,Door Works,1st Floor,,Sliding Doors,APCS,,SFT,,0,
,Door Works,1st Floor,,Handle lock,APCS,2,Pcs,"2,000.00",4000,
,Door Works,1st Floor,,Round Lock,APCS,14,Pcs,600,8400,
,Door Works,1st Floor,,Door Knoker,APCS,1,Pcs,200,200,
,Door Works,1st Floor,,Hinge,SS,66,Pcs,100,6600,
,Door Works,1st Floor,,6 inch Tower Bolt,SS,16,Pcs,100,1600,
,Door Works,1st Floor,,8 inch Tower Bolt,SS,10,Pcs,120,1200,
,Door Works,1st Floor,,Door stopper,APCS,10,Pcs,100,1000,
,Door Works,1st Floor,,Door Vapper,APCS,6,Pcs,20,120,
,Door Works,1st Floor,,Clamp,MS,100,Pcs,20,2000,
,Door Works,1st Floor,,Screw,SS,300,Pcs,1,300,
,Door Works,1st Floor,,Fixing & fiting Cost,APCS,16,Pcs,550,8800,
,Door Works,2nd Floor,,Main Door Frame,Ctg Shegun,2,Pcs,"10,500.00",21000,
,Door Works,2nd Floor,,Main Door Shutter,Ctg Shegun,2,Pcs,"17,500.00",35000,
,Door Works,2nd Floor,,Bed Room Door Frame,Teak Chamble,6,Pcs,"8,500.00",51000,
,Door Works,2nd Floor,,Bed Room Door Shutter,Veneer Flash Door,132,Sft,150,19800,
,Door Works,2nd Floor,,Kitchen Door Frame,Teak Chamble,2,Pcs,"8,500.00",17000,
,Door Works,2nd Floor,,Kitchen Door Frame Shutter,Gamari,2,Pcs,"4,800.00",9600,
,Door Works,2nd Floor,,Toilet Door Frame,Teak Chamble,6,Pcs,"8,000.00",48000,
,Door Works,2nd Floor,,Toilet Door Frame Shutter,Gamari,6,Pcs,"4,500.00",27000,
,Door Works,2nd Floor,,Cat Door Frame,Mehgoni (1.5X1.5),8,Pcs,900,7200,
,Door Works,2nd Floor,,Cat Door Shutter,APCS,76.48,Sft,120,9177.6,
,Door Works,2nd Floor,,Pvc Door,APCS,2,Pcs,"4,000.00",8000,
,Door Works,2nd Floor,,Sliding Doors,APCS,,SFT,,0,
,Door Works,2nd Floor,,Handle lock,APCS,2,Pcs,"2,000.00",4000,
,Door Works,2nd Floor,,Round Lock,APCS,14,Pcs,600,8400,
,Door Works,2nd Floor,,Door Knoker,APCS,1,Pcs,200,200,
,Door Works,2nd Floor,,Hinge,SS,66,Pcs,100,6600,
,Door Works,2nd Floor,,6 inch Tower Bolt,SS,16,Pcs,100,1600,
,Door Works,2nd Floor,,8 inch Tower Bolt,SS,10,Pcs,120,1200,
,Door Works,2nd Floor,,Door stopper,APCS,10,Pcs,100,1000,
,Door Works,2nd Floor,,Door Vapper,APCS,6,Pcs,20,120,
,Door Works,2nd Floor,,Clamp,MS,100,Pcs,20,2000,
,Door Works,2nd Floor,,Screw,SS,300,Pcs,1,300,
,Door Works,2nd Floor,,Fixing & fiting Cost,APCS,16,Pcs,550,8800,
,Door Works,3rd Floor,,Main Door Frame,Ctg Shegun,2,Pcs,"10,500.00",21000,
,Door Works,3rd Floor,,Main Door Shutter,Ctg Shegun,2,Pcs,"17,500.00",35000,
,Door Works,3rd Floor,,Bed Room Door Frame,Teak Chamble,6,Pcs,"8,500.00",51000,
,Door Works,3rd Floor,,Bed Room Door Shutter,Veneer Flash Door,132,Sft,150,19800,
,Door Works,3rd Floor,,Kitchen Door Frame,Teak Chamble,2,Pcs,"8,500.00",17000,
,Door Works,3rd Floor,,Kitchen Door Frame Shutter,Gamari,2,Pcs,"4,800.00",9600,
,Door Works,3rd Floor,,Toilet Door Frame,Teak Chamble,6,Pcs,"8,000.00",48000,
,Door Works,3rd Floor,,Toilet Door Frame Shutter,Gamari,6,Pcs,"4,500.00",27000,
,Door Works,3rd Floor,,Cat Door Frame,Mehgoni (1.5X1.5),8,Pcs,900,7200,
,Door Works,3rd Floor,,Cat Door Shutter,APCS,76.48,Sft,120,9177.6,
,Door Works,3rd Floor,,Pvc Door,APCS,2,Pcs,"4,000.00",8000,
,Door Works,3rd Floor,,Sliding Doors,APCS,,SFT,,0,
,Door Works,3rd Floor,,Handle lock,APCS,2,Pcs,"2,000.00",4000,
,Door Works,3rd Floor,,Round Lock,APCS,14,Pcs,600,8400,
,Door Works,3rd Floor,,Door Knoker,APCS,1,Pcs,200,200,
,Door Works,3rd Floor,,Hinge,SS,66,Pcs,100,6600,
,Door Works,3rd Floor,,6 inch Tower Bolt,SS,16,Pcs,100,1600,
,Door Works,3rd Floor,,8 inch Tower Bolt,SS,10,Pcs,120,1200,
,Door Works,3rd Floor,,Door stopper,APCS,10,Pcs,100,1000,
,Door Works,3rd Floor,,Door Vapper,APCS,6,Pcs,20,120,
,Door Works,3rd Floor,,Clamp,MS,100,Pcs,20,2000,
,Door Works,3rd Floor,,Screw,SS,300,Pcs,1,300,
,Door Works,3rd Floor,,Fixing & fiting Cost,APCS,16,Pcs,550,8800,
,Door Works,4th Floor,,Main Door Frame,Ctg Shegun,2,Pcs,"10,500.00",21000,
,Door Works,4th Floor,,Main Door Shutter,Ctg Shegun,2,Pcs,"17,500.00",35000,
,Door Works,4th Floor,,Bed Room Door Frame,Teak Chamble,6,Pcs,"8,500.00",51000,
,Door Works,4th Floor,,Bed Room Door Shutter,Veneer Flash Door,132,Sft,150,19800,
,Door Works,4th Floor,,Kitchen Door Frame,Teak Chamble,2,Pcs,"8,500.00",17000,
,Door Works,4th Floor,,Kitchen Door Frame Shutter,Gamari,2,Pcs,"4,800.00",9600,
,Door Works,4th Floor,,Toilet Door Frame,Teak Chamble,6,Pcs,"8,000.00",48000,
,Door Works,4th Floor,,Toilet Door Frame Shutter,Gamari,6,Pcs,"4,500.00",27000,
,Door Works,4th Floor,,Cat Door Frame,Mehgoni (1.5X1.5),8,Pcs,900,7200,
,Door Works,4th Floor,,Cat Door Shutter,APCS,76.48,Sft,120,9177.6,
,Door Works,4th Floor,,Pvc Door,APCS,2,Pcs,"4,000.00",8000,
,Door Works,4th Floor,,Sliding Doors,APCS,,SFT,,0,
,Door Works,4th Floor,,Handle lock,APCS,2,Pcs,"2,000.00",4000,
,Door Works,4th Floor,,Round Lock,APCS,14,Pcs,600,8400,
,Door Works,4th Floor,,Door Knoker,APCS,1,Pcs,200,200,
,Door Works,4th Floor,,Hinge,SS,66,Pcs,100,6600,
,Door Works,4th Floor,,6 inch Tower Bolt,SS,16,Pcs,100,1600,
,Door Works,4th Floor,,8 inch Tower Bolt,SS,10,Pcs,120,1200,
,Door Works,4th Floor,,Door stopper,APCS,10,Pcs,100,1000,
,Door Works,4th Floor,,Door Vapper,APCS,6,Pcs,20,120,
,Door Works,4th Floor,,Clamp,MS,100,Pcs,20,2000,
,Door Works,4th Floor,,Screw,SS,300,Pcs,1,300,
,Door Works,4th Floor,,Fixing & fiting Cost,APCS,16,Pcs,550,8800,
,Door Works,5th Floor,,Main Door Frame,Ctg Shegun,1,Pcs,"10,500.00",10500,
,Door Works,5th Floor,,Main Door Shutter,Ctg Shegun,1,Pcs,"17,500.00",17500,
,Door Works,5th Floor,,Bed Room Door Frame,Shil Korai,5,Pcs,"8,500.00",42500,
,Door Works,5th Floor,,Bed Room Door Shutter,Veneer Flash Door,110,Sft,200,22000,
,Door Works,5th Floor,,Kitchen Door Frame,Shil Korai,3,Pcs,"8,500.00",25500,
,Door Works,5th Floor,,Kitchen Door Frame Shutter,Veneer Flash Door,63,Sft,200,12600,
,Door Works,5th Floor,,Toilet Door Frame,Mehgoni,4,Pcs,"8,000.00",32000,
,Door Works,5th Floor,,Toilet Door Frame Shutter,Formica Door,64,Sft,285,18240,
,Door Works,5th Floor,,Cat Door Frame,Mehgoni (1.5X1.5),5,Pcs,900,4500,
,Door Works,5th Floor,,Cat Door Shutter,APCS,47.8,Sft,120,5736,
,Door Works,5th Floor,,Pvc Door,APCS,1,Pcs,"4,000.00",4000,
,Door Works,5th Floor,,Sliding Doors,,,SFT,,0,
,Door Works,5th Floor,,Handle lock,APCS,1,Pcs,"2,000.00",2000,
,Door Works,5th Floor,,Round Lock,APCS,12,Pcs,600,7200,
,Door Works,5th Floor,,Door Knoker,,1,Pcs,200,200,
,Door Works,5th Floor,,Hinge,SS,58,Pcs,100,5800,
,Door Works,5th Floor,,6 inch Tower Bolt,SS,13,Pcs,100,1300,
,Door Works,5th Floor,,8 inch Tower Bolt,SS,9,Pcs,120,1080,
,Door Works,5th Floor,,Door stopper,APCS,9,Pcs,100,900,
,Door Works,5th Floor,,Door Vapper,APCS,4,Pcs,20,80,
,Door Works,5th Floor,,Clamp,MS,80,Pcs,20,1600,
,Door Works,5th Floor,,Screw,SS,240,Pcs,1,240,
,Door Works,5th Floor,,Fixing & fiting Cost,APCS,13,Pcs,550,7150,
,Door Works,6th Floor,,Main Door Frame,Ctg Shegun,1,Pcs,"10,500.00",10500,
,Door Works,6th Floor,,Main Door Shutter,Ctg Shegun,1,Pcs,"17,500.00",17500,
,Door Works,6th Floor,,Bed Room Door Frame,Shil Korai,5,Pcs,"8,500.00",42500,
,Door Works,6th Floor,,Bed Room Door Shutter,Veneer Flash Door,110,Sft,200,22000,
,Door Works,6th Floor,,Kitchen Door Frame,Shil Korai,3,Pcs,"8,500.00",25500,
,Door Works,6th Floor,,Kitchen Door Frame Shutter,Veneer Flash Door,63,Sft,200,12600,
,Door Works,6th Floor,,Toilet Door Frame,Mehgoni,4,Pcs,"8,000.00",32000,
,Door Works,6th Floor,,Toilet Door Frame Shutter,Formica Door,64,Sft,285,18240,
,Door Works,6th Floor,,Cat Door Frame,Mehgoni (1.5X1.5),5,Pcs,900,4500,
,Door Works,6th Floor,,Cat Door Shutter,APCS,47.8,Sft,120,5736,
,Door Works,6th Floor,,Pvc Door,APCS,1,Pcs,"4,000.00",4000,
,Door Works,6th Floor,,Sliding Doors,,,SFT,,0,
,Door Works,6th Floor,,Handle lock,APCS,1,Pcs,"2,000.00",2000,
,Door Works,6th Floor,,Round Lock,APCS,12,Pcs,600,7200,
,Door Works,6th Floor,,Door Knoker,,1,Pcs,200,200,
,Door Works,6th Floor,,Hinge,SS,58,Pcs,100,5800,
,Door Works,6th Floor,,6 inch Tower Bolt,SS,13,Pcs,100,1300,
,Door Works,6th Floor,,8 inch Tower Bolt,SS,9,Pcs,120,1080,
,Door Works,6th Floor,,Door stopper,APCS,9,Pcs,100,900,
,Door Works,6th Floor,,Door Vapper,APCS,4,Pcs,20,80,
,Door Works,6th Floor,,Clamp,MS,80,Pcs,20,1600,
,Door Works,6th Floor,,Screw,SS,240,Pcs,1,240,
,Door Works,6th Floor,,Fixing & fiting Cost,APCS,13,Pcs,550,7150,
,Door Works,7th Floor,,Main Door Frame,Ctg Shegun,1,Pcs,"10,500.00",10500,
,Door Works,7th Floor,,Main Door Shutter,Ctg Shegun,1,Pcs,"17,500.00",17500,
,Door Works,7th Floor,,Bed Room Door Frame,Shil Korai,5,Pcs,"8,500.00",42500,
,Door Works,7th Floor,,Bed Room Door Shutter,Veneer Flash Door,110,Sft,200,22000,
,Door Works,7th Floor,,Kitchen Door Frame,Shil Korai,3,Pcs,"8,500.00",25500,
,Door Works,7th Floor,,Kitchen Door Frame Shutter,Veneer Flash Door,63,Sft,200,12600,
,Door Works,7th Floor,,Toilet Door Frame,Mehgoni,4,Pcs,"8,000.00",32000,
,Door Works,7th Floor,,Toilet Door Frame Shutter,Formica Door,64,Sft,285,18240,
,Door Works,7th Floor,,Cat Door Frame,Mehgoni (1.5X1.5),5,Pcs,900,4500,
,Door Works,7th Floor,,Cat Door Shutter,APCS,47.8,Sft,120,5736,
,Door Works,7th Floor,,Pvc Door,APCS,1,Pcs,"4,000.00",4000,
,Door Works,7th Floor,,Sliding Doors,,,SFT,,0,
,Door Works,7th Floor,,Handle lock,APCS,1,Pcs,"2,000.00",2000,
,Door Works,7th Floor,,Round Lock,APCS,12,Pcs,600,7200,
,Door Works,7th Floor,,Door Knoker,,1,Pcs,200,200,
,Door Works,7th Floor,,Hinge,SS,58,Pcs,100,5800,
,Door Works,7th Floor,,6 inch Tower Bolt,SS,13,Pcs,100,1300,
,Door Works,7th Floor,,8 inch Tower Bolt,SS,9,Pcs,120,1080,
,Door Works,7th Floor,,Door stopper,APCS,9,Pcs,100,900,
,Door Works,7th Floor,,Door Vapper,APCS,4,Pcs,20,80,
,Door Works,7th Floor,,Clamp,MS,80,Pcs,20,1600,
,Door Works,7th Floor,,Screw,SS,240,Pcs,1,240,
,Door Works,7th Floor,,Fixing & fiting Cost,APCS,13,Pcs,550,7150,
,Door Works,8th Floor,,Main Door Frame,Ctg Shegun,1,Pcs,"10,500.00",10500,
,Door Works,8th Floor,,Main Door Shutter,Ctg Shegun,1,Pcs,"17,500.00",17500,
,Door Works,8th Floor,,Bed Room Door Frame,Teak Chamble,5,Pcs,"8,500.00",42500,
,Door Works,8th Floor,,Bed Room Door Shutter,Veneer Flash Door,110,Sft,150,16500,
,Door Works,8th Floor,,Kitchen Door Frame,Teak Chamble,3,Pcs,"8,500.00",25500,
,Door Works,8th Floor,,Kitchen Door Frame Shutter,Gamari,3,Pcs,"4,800.00",14400,
,Door Works,8th Floor,,Toilet Door Frame,Teak Chamble,4,Pcs,"8,000.00",32000,
,Door Works,8th Floor,,Toilet Door Frame Shutter,Gamari,4,Pcs,"4,500.00",18000,
,Door Works,8th Floor,,Cat Door Frame,Mehgoni (1.5X1.5),5,Pcs,900,4500,
,Door Works,8th Floor,,Cat Door Shutter,APCS,47.8,Sft,120,5736,
,Door Works,8th Floor,,Pvc Door,APCS,1,Pcs,"4,000.00",4000,
,Door Works,8th Floor,,Sliding Doors,,,SFT,,0,
,Door Works,8th Floor,,Handle lock,APCS,1,Pcs,"2,000.00",2000,
,Door Works,8th Floor,,Round Lock,APCS,12,Pcs,600,7200,
,Door Works,8th Floor,,Door Knoker,,1,Pcs,200,200,
,Door Works,8th Floor,,Hinge,SS,58,Pcs,100,5800,
,Door Works,8th Floor,,6 inch Tower Bolt,SS,13,Pcs,100,1300,
,Door Works,8th Floor,,8 inch Tower Bolt,SS,9,Pcs,120,1080,
,Door Works,8th Floor,,Door stopper,APCS,9,Pcs,100,900,
,Door Works,8th Floor,,Door Vapper,APCS,4,Pcs,20,80,
,Door Works,8th Floor,,Clamp,MS,80,Pcs,20,1600,
,Door Works,8th Floor,,Screw,SS,240,Pcs,1,240,
,Door Works,8th Floor,,Fixing & fiting Cost,APCS,13,Pcs,550,7150,
,MS & SS Works,1st Floor,,MS Grill,12mm Square Bar,414.88,SFT,120,49785.6,
,MS & SS Works,1st Floor,,MS Safety Grill,12mm Square Bar,433.81,SFT,120,52057.2,
,MS & SS Works,1st Floor,,Varenda Railing with 10mm Tempred Glass,,260.29,SFT,700,182203,
,MS & SS Works,2nd Floor,,MS Grill,12mm Square Bar,383.63,SFT,120,46035.6,
